ltc_nBits: 3.57635e-07    ltc_count: 453        btc_nBits: 3.15802e-07     btc_count: 267        nHeight: 11520      2023-11-20 18:43:58
ltc_nBits: 2.92185e-07    ltc_count: 444        btc_nBits: 2.63607e-07     btc_count: 276        nHeight: 12240      2023-11-20 18:58:22
ltc_nBits: 2.50803e-07    ltc_count: 469        btc_nBits: 1.92699e-06     btc_count: 251        nHeight: 12960      2023-11-20 19:12:22
ltc_nBits: 1.07275e-06    ltc_count: 651        btc_nBits: 1.05589e-06     btc_count: 69         nHeight: 13680      2023-11-20 19:28:06
ltc_nBits: 2.68188e-07    ltc_count: 105        btc_nBits: 3.4756e-07      btc_count: 615        nHeight: 14400      2023-11-20 20:04:38
ltc_nBits: 4.92663e-07    ltc_count: 0          btc_nBits: 3.49934e-07     btc_count: 720        nHeight: 15120      2023-11-20 20:34:30
ltc_nBits: 2.61499e-07    ltc_count: 0          btc_nBits: 3.47148e-07     btc_count: 720        nHeight: 15840      2023-11-20 21:04:41
ltc_nBits: 4.14709e-07    ltc_count: 0          btc_nBits: 3.23836e-07     btc_count: 720        nHeight: 16560      2023-11-20 21:35:28
ltc_nBits: 9.47651e-07    ltc_count: 0          btc_nBits: 2.88595e-07     btc_count: 720        nHeight: 17280      2023-11-20 22:05:40
ltc_nBits: 2.36913e-07    ltc_count: 0          btc_nBits: 2.7817e-07      btc_count: 720        nHeight: 18000      2023-11-20 22:33:02
ltc_nBits: 2.50078e-07    ltc_count: 0          btc_nBits: 5.10379e-06     btc_count: 720        nHeight: 18720      2023-11-20 23:02:26
ltc_nBits: 3.2155e-07     ltc_count: 0          btc_nBits: 1.27595e-06     btc_count: 720        nHeight: 19440      2023-11-21 00:21:03
ltc_nBits: 2.59762e-07    ltc_count: 0          btc_nBits: 3.47764e-07     btc_count: 720        nHeight: 20160      2023-11-21 01:05:15
ltc_nBits: 3.9783e-07     ltc_count: 0          btc_nBits: 3.47646e-07     btc_count: 720        nHeight: 20880      2023-11-21 01:35:15
ltc_nBits: 6.82837e-07    ltc_count: 0          btc_nBits: 3.68327e-07     btc_count: 720        nHeight: 21600      2023-11-21 02:04:33
ltc_nBits: 4.65654e-10    ltc_count: 0          btc_nBits: 4.65654e-10     btc_count: 0          nHeight: 720        2023-12-12 19:35:30
ltc_nBits: 4.65654e-10    ltc_count: 0          btc_nBits: 4.65654e-10     btc_count: 719        nHeight: 720        2024-01-30 19:35:17
ltc_nBits: 4.65654e-10    ltc_count: 0          btc_nBits: 4.65654e-10     btc_count: 719        nHeight: 720        2024-01-31 00:35:31
ltc_nBits: 4.65654e-10    ltc_count: 0          btc_nBits: 4.65654e-10     btc_count: 719        nHeight: 720        2024-02-03 19:52:11
ltc_nBits: 4.65654e-10    ltc_count: 2          btc_nBits: 4.65654e-10     btc_count: 717        nHeight: 720        2024-02-04 12:10:36
ltc_nBits: 4.65654e-10    ltc_count: 3          btc_nBits: 4.65654e-10     btc_count: 717        nHeight: 1440       2024-02-04 12:12:01
ltc_nBits: 4.65654e-10    ltc_count: 3          btc_nBits: 4.65654e-10     btc_count: 717        nHeight: 2160       2024-02-04 12:13:10
ltc_nBits: 2.32831e-07    ltc_count: 1          btc_nBits: 2.32831e-07     btc_count: 719        nHeight: 2880       2024-02-04 12:14:08
ltc_nBits: 4.65654e-10    ltc_count: 3          btc_nBits: 4.65654e-10     btc_count: 716        nHeight: 720        2024-02-04 15:13:11
ltc_nBits: 4.65654e-10    ltc_count: 10         btc_nBits: 4.65654e-10     btc_count: 710        nHeight: 1440       2024-02-04 15:14:59
